"ProductID";"ManufacturerID";"Gender";"Size";"Color";"Type";"CategoryID"
"000224bb-606d-44c6-9d78-d60166a62a84";"21f99fe5-dd9f-420a-b249-026a247a9b3c";"Female";"L";"Puce";"Bandana";"559c769b-6e93-4997-a858-6def01b203cc"
"00059afb-d432-4cff-b874-9339a4c4f906";"69154966-20eb-489c-8c0a-f209c1c52128";"Female";"XS";"Yellow";"Necklace";"49be4556-c614-4b6f-ac1a-6cbdeccda19c"
"0096c8c5-25ab-4982-855e-c0edd6b4ea4a";"69154966-20eb-489c-8c0a-f209c1c52129";"Female";"XS";"Blue";"Cargo Pants";"602867ab-4eea-4d04-8e95-9c7c54a09aa4"
"00f14dbc-8767-433d-bd91-6669003bde8e";"69154966-20eb-489c-8c0a-f209c1c52126";"Male";"M";"Maroon";"Crop Shirt";"74cc529e-3c29-42ec-b708-7bb076a60f92"
"015b870e-21fd-4c60-b3e2-4fee6bf22fe3";"1c4f13bc-720f-4cd3-977d-ed4d89c6c53f";"Male";"S";"Orange";"Plaid Sweater";"3b0207e8-83b1-4b18-8d29-cb61b38d5e30"
"0184eebf-392d-49b4-93f9-31a700eac32b";"69154966-20eb-489c-8c0a-f209c1c52129";"Agender";"XS";"Orange";"Necklace";"49be4556-c614-4b6f-ac1a-6cbdeccda19c"
"01c0daa2-7920-4f50-8695-ef31f9a9c2b9";"69154966-20eb-489c-8c0a-f209c1c52141";"Male";"XS";"Blue";"Jeans";"f999b3c0-d5f1-4c87-b35b-7e3ded5935b2"
"01ee85e2-c35f-4d6e-a3ab-0009aa9768b7";"1c4f13bc-720f-4cd3-977d-ed4d89c6c53f";"Male";"L";"Red";"Necklace";"49be4556-c614-4b6f-ac1a-6cbdeccda19c"
"0268cf98-c223-4948-95ef-48af651bfe19";"1c4f13bc-720f-4cd3-977d-ed4d89c6c53f";"Male";"XL";"Blue";"Striped Shirt";"3f1c8320-ea61-4f21-9e22-eccd99c05bfb"
"0280e4e9-68ed-4f30-8ccd-2d5915145cab";"21f99fe5-dd9f-420a-b249-026a247a9b3c";"Female";"XL";"Turquoise";"Graphic Tee";"ae2c148d-0a2a-4d3a-ad81-2d3a642b761b"
"028b9ebd-7713-4879-9b44-4911f6f1454c";"21f99fe5-dd9f-420a-b249-026a247a9b3c";"Female";"S";"Goldenrod";"Jeans";"f999b3c0-d5f1-4c87-b35b-7e3ded5935b2"
"02afea7b-76c9-4588-85ad-48549391e3f4";"1c4f13bc-720f-4cd3-977d-ed4d89c6c53f";"Polygender";"XS";"Teal";"Windbreaker";"2482a7a8-a10e-4e13-9395-c04dc6735f55"
