"OrderID";"CustomerID";"PaymentID";"Order_Date";"Order_Status"
"007147e8-8a35-4d04-8795-a3763daac39a";"201ba308-c6a8-4154-a39b-554d3cc82c83";"3dffb8e2-8256-41be-b848-043b4b102912";"2024-10-04 23:17:22";"5"
"00b9355f-d453-45fd-a619-7cda51d20b0c";"c3c987c6-fab9-4e3f-8b07-58772635e602";"20a8dca0-9bf7-47ef-a87b-9c95c9200dc7";"2024-06-05 03:39:17";"5"
"01074445-6041-4a61-85c0-64d79f5cf43c";"156a284f-be61-4bd1-a0ab-30769ee030d2";"c8e45742-f71f-4fd4-ba8a-e6006629f6c1";"2024-06-28 05:30:55";"5"
"01391d65-5912-4178-a7e3-93ef517d2727";"ac686199-5bb7-4156-9b98-4d5923f805d7";"7f98691e-134f-4ca5-9a31-0a1701325718";"2024-10-13 13:21:24";"5"
"01943b42-5807-47e6-a88b-37cf1375c5db";"09ddd03a-727b-4170-b7d3-42be24c2f430";"84597ca1-938f-4333-92fb-b975ed153020";"2024-12-31 11:33:32";"2"
"019deaa2-34c1-4ae4-a513-08a28f8e0106";"7808d984-a7ec-4bde-8548-7e7d1b2ae715";"b88be902-544b-44a3-b7fa-d462118c4e56";"2024-05-12 16:59:59";"5"
"01f7f492-211c-4fa6-8e12-07c7ae7edda7";"850eaf4c-2379-477f-a4d2-0c61aa741e27";"ab05cd48-64ef-4b20-be15-1d6522603b23";"2024-07-13 11:16:02";"5"
"01faed2c-b3ee-4f79-a935-094b8790f579";"98b34353-07e2-475b-b284-93c932fcab70";"244d7a71-f9d8-4247-a911-75e3c6f425cf";"2024-11-23 08:44:52";"5"
"02283ab6-b3b9-48c5-a69a-d6e698f73a47";"9431de06-cc5d-4f3e-82b3-724f41ceb069";"7c83b5e7-4b3b-4ba6-ae78-8191cc4c630a";"2024-03-24 15:42:41";"5"
"02918d0e-640e-4695-9be0-199ccdf53fae";"b9e581a2-91aa-43e9-a9ed-8fb4bc274ce1";"35b1757f-17c9-44e7-8a64-ffeac23bc1db";"2024-07-16 03:24:22";"5"
"02b33fbc-b780-41cd-adc4-87e02c2465c4";"3a17aca4-6064-4b94-ba45-b7fa224d8bd0";"cb6c8c84-d703-41c5-9af8-04e75210256f";"2024-06-28 19:52:22";"5"
"02b425a5-676a-4072-bb7f-00e00fca6584";"eb0742c9-275e-4b44-b9a6-30aca3c3b957";"5a5df303-ce95-4760-80e0-11aa7710bbd3";"2024-11-29 18:09:47";"5"
"02c7b191-ddd0-4303-99a2-4f83e40e644c";"97622ed5-428c-4d84-8b70-057087d7339f";"bcf9e499-c368-4439-99a7-0b857884b328";"2024-01-09 16:07:03";"5"
"02dfc606-e0f7-4085-b466-20ddf31facfc";"655697d0-a611-41ba-87a5-a919d784a054";"c496b804-3e81-4cee-8438-6a0c40c597c5";"2024-04-23 10:00:49";"5"
"031ff9d2-1d59-4002-a9c9-9ec566d0d16d";"e1bc16c5-f833-43fa-a856-f13fe4e3f83c";"f9177f25-1e0c-4b65-91bc-a600a1739a57";"2024-08-07 04:58:48";"5"
"035e6045-0bf8-4aae-a3c5-fa551d73d457";"c45bc17b-9dad-45ae-8673-88596f3f3bd4";"77c563d1-fe95-418c-ba56-dff2d24d00e5";"2024-08-08 10:54:07";"5"
"03dca7fb-84b2-4e7e-a737-66fa136b1800";"f90bda47-5216-4465-92b8-1ec36524647e";"92f4e4cc-94a3-4afd-b08b-3dd8f7350ed7";"2025-01-01 09:58:36";"2"
"0419c65a-2e43-4cf1-9224-fbcbc93b09ae";"633cc6c4-3697-48e8-a243-c44425ecfb85";"3c6fc3a6-2c9f-4605-b637-194d571f4ad1";"2024-01-29 05:38:03";"5"
"04bec07d-6c0b-4a67-b071-f111162e2b0a";"3ff2aaac-862d-441f-8dbb-79e813f50d7a";"2c7a6baf-bced-46c5-9607-7577dc1cb6df";"2024-03-31 09:17:23";"5"
"052da860-0a17-4177-a9e1-97b2e192fafc";"eda800b8-5028-4902-ade3-daaad5bfb91a";"ca36f2cc-133e-44f7-842d-e8fefb3a4696";"2024-06-01 01:35:31";"5"
"053250bd-593b-4acd-9b2d-8f4624bba451";"4b5c6d5d-b26c-48b6-a304-140d203151a1";"ba59c778-78e9-4e75-835c-1ef8e26a4eb1";"2024-05-26 12:45:27";"5"
